Player,TEAM,AGE,GP,W,L,MIN,DEF RTG,DREB,DREB%,%DREB,STL,STL%,BLK,%BLK,OPP PTS OFF TOV,OPP PTS 2ND CHANCE,OPP PTS FB,OPP PTS PAINT,DEF WS
Duncan Robinson,MIA,30,68,38,30,28,111,2.3,8.4,12.1,0.7,15.9,0.2,10.8,9.1,7.6,7.7,26.7,0.102
Wendell Carter Jr.,ORL,25,55,30,25,25.6,109.6,4.9,20.7,29,0.6,14.2,0.5,24.8,8.6,6,7.9,23.9,0.102
Jalen Suggs,ORL,23,75,43,32,27,110.8,2.4,9.5,13.4,1.4,29.9,0.6,22.5,9.8,6.5,8.3,26.6,0.102
LeBron James,LAL,39,71,41,30,35.3,113.6,6.4,17.2,25.3,1.3,23.1,0.5,13,12.5,10.8,11.5,37,0.101
Jamal Murray,DEN,27,59,44,15,31.5,112.4,3.4,10.5,15.6,1,20.4,0.7,16.3,10.8,9.2,9.6,34.6,0.101
Bradley Beal,PHX,31,53,33,20,33.3,113.2,3.4,9.9,14.6,1,18.4,0.5,14.1,12.8,9.6,10.7,34.9,0.101
DeMar DeRozan,CHI,34,79,37,42,37.8,114.6,3.8,10.1,15,1.1,19.5,0.6,15.4,11.8,10.5,9.9,35.5,0.099
Jonathan Isaac,ORL,26,58,35,23,15.8,102.1,3.2,20.1,30.8,0.7,24.3,1.2,54.3,5.1,3.3,4.2,13.2,0.099
Anthony Davis,LAL,31,76,45,31,35.5,114,9.5,25.2,36.6,1.2,21.9,2.3,52.5,12,10.6,11.6,36.4,0.099
Keegan Murray,SAC,23,77,43,34,33.6,113.4,4.1,12.6,17.8,1,18,0.8,27.7,11.3,7.1,7.5,34.2,0.099
Isaiah Hartenstein,NYK,26,75,47,28,25.3,110.3,5.1,20.1,29,1.2,27.9,1.1,49.1,7.3,6.3,7.3,24.4,0.098
Jose Alvarado,NOP,26,56,38,18,18.4,105.2,1.8,9.6,14.7,1.1,28,0.3,16.1,6.1,5,5.2,16.9,0.098
Caleb Martin,MIA,28,64,36,28,27.4,111.1,3.2,11.9,17.4,0.7,18.6,0.5,25,8.4,7.5,7,24.8,0.098
Robert Covington,PHI,33,29,20,9,16.8,103.6,2.3,12.7,19.8,1.3,36.8,0.6,32.7,6.1,5,5.6,16,0.098
Jusuf Nurki?,PHX,29,76,48,28,27.3,111.3,8.1,28.4,40,1.1,25.3,1.1,35.9,9.8,6.7,8,28.3,0.097
Vince Williams Jr.,MEM,23,52,18,34,27.6,111.4,4.4,16.3,24.9,0.9,18.9,0.7,16.9,9.9,7.9,7.9,28.8,0.097
Alperen Sengun,HOU,21,63,29,34,32.5,113.2,6.4,19.3,28.1,1.2,24.1,0.7,27.7,9.3,9.2,7.3,31.8,0.097
Kyle Lowry,PHI,38,60,32,28,28.2,111.6,2.7,9.8,14.5,1,22.2,0.4,14,9.6,7.2,9.1,26.8,0.096
Malik Beasley,MIL,27,79,46,33,29.6,112.6,3.2,9.8,14.1,0.7,18.7,0.1,3.4,9,8.1,9,32.1,0.095
Amen Thompson,HOU,21,62,30,32,22.4,109.3,4.2,18.4,27,1.3,28.4,0.6,25.3,7.3,5.9,6.2,23.1,0.095
Royce O'Neale,PHX,31,79,38,41,24.7,110.4,4,15.5,23.1,0.7,18.6,0.6,19,9,6.5,7.6,23.7,0.095
Luguentz Dort,OKC,25,79,54,25,28.4,112.1,2.7,8.9,13.7,0.9,19,0.6,15.2,8.6,9.3,7.8,27.2,0.095
